武将ID,名字,武力,智力,统率,兵种,武器,智力道具,坐骑
171,徐庶,78,97,50,弓兵,,,
171,张嶷,74,52,50,骑兵,,,
172,鲍隆,68,35,50,步兵,,,
172,陈式,59,35,50,水兵,,,
172,丁奉,75,84,50,水兵,,,
172,刘琮,27,83,50,弓兵,,,
173,陈震,39,72,50,骑兵,,,
173,巩志,59,77,50,步兵,,,
173,鲁肃,20,86,50,步兵,,,
173,王威,77,53,50,水兵,,,
174,陆抗,42,73,50,水兵,,,
174,通宵虫,150,150,50,玄兵,,,
174,王修,51,73,50,步兵,,,
174,虞翻,40,84,50,水兵,,,
175,贾华,61,36,50,步兵,,,
175,阚泽,22,77,50,水兵,,,
175,南方小鬼,150,150,50,玄兵,,,
175,王累,58,77,50,弓兵,,,
176,博士仁,40,43,50,弓兵,,,
176,华歆,47,70,50,步兵,,,
176,简雍,34,71,50,步兵,,,
177,董和,28,75,50,步兵,,,
177,向朗,44,75,50,步兵,,,
177,诸葛谨,25,84,50,步兵,,,
178,邓贤,76,43,50,骑兵,,,
178,丁奉,75,84,50,水兵,,,
178,阚泽,22,77,50,水兵,,,
179,黄忠,93,57,50,弓兵,,,
179,刘繇,35,66,50,步兵,,,
179,庞仪,45,84,50,骑兵,,,
180,高览,83,54,50,步兵,,,
180,高沛,85,53,50,弓兵,,,
180,吕旷,67,56,50,骑兵,,,
181,高干,59,41,50,水兵,,,
181,吕翔,52,35,50,水兵,,,
181,杨怀,73,51,50,水兵,,,
182,典满,83,52,50,弓兵,,,
182,王忠,47,41,50,弓兵,,,
182,诸葛亮,26,100,50,步兵,,,
183,管辂,24,74,50,步兵,,,
183,通宵虫,150,150,50,极兵,,,
183,王双,80,49,50,水兵,,,
184,华佗,46,81,50,步兵,,,
184,南方小鬼,150,150,50,玄兵,,,
184,诸葛均,48,73,50,水兵,,,
185,华佗,46,81,50,步兵,,,
185,通宵虫,150,150,50,极兵,,,
186,管辂,24,74,50,步兵,,,
186,南方小鬼,150,150,50,玄兵,,,
187,通宵虫,150,150,50,极兵,,,
188,南方小鬼,150,150,50,玄兵,,,
